,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
42,ADAURINO,[ADAURINO],[ADAURINO],"[ADAURINO, ADRIANA, ADRIANO]","[ADAURINO, ADELIANE, ADELINA, ADELINO, ADELMA, ADELMIR, ADRIANA, ADRIANO, AUDALIANO, DALMIR, DALMO, DAYLIANE, DELINA, DELMA, DELMAR, DELMIR, DELMO, DEOLINDA, DEOLINDO, DILMA, DILMAR, DIOLINDA, DIRLENE, DORALINO, DORINHA, EDELMO, EDILMA, IDALINA]",[ADAURINO],[ADAURINO],[ADAURINO]
43,ADAUTO,[ADAUTO],[ADAUTO],"[ADA, ADAO, ADÃO, ADAUTO, ADITH, AIDA, ATAIDE, ATHAIDE, ATHAYDE, AUTA]","[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE]",[ADAUTO],"[ADALTO, ADAUTO, ADEILTO]",[ADAUTO]
44,ADEGIL,[ADEGIL],[ADEGIL],"[ADEGIL, ADESIL]","[ADEGIL, ADEJAR, DEJACY, DJAIR]",[ADEGIL],[ADEGIL],[ADEGIL]
45,ADEILTO,[ADEILTO],[ADEILTO],"[ADALTO, ADEILTO, ADELAIDE]","[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE]",[ADEILTO],"[ADALTO, ADAUTO, ADEILTO]",[ADEILTO]
46,ADEIR,[ADEIR],[ADEIR],"[ADAHIR, ADAIR, ADAURI, ADEIR, ADIR, ADYR]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]",[ADEIR],"[ADAHIR, ADAIR, ADEIR, ADIR, ADYR]","[ADEIR, ADIR, ADYR]"
47,ADEJAR,[ADEJAR],[ADEJAR],"[ADACIR, ADEJAR, ADGAR]","[ADEGIL, ADEJAR, DEJACY, DJAIR]",[ADEJAR],[ADEJAR],[ADEJAR]
48,ADELAIDE,[ADELAIDE],[ADELAIDE],"[ADALTO, ADEILTO, ADELAIDE]","[ADAILDES, ADELAIDE, ADORILDO, ADROALDO, DEILDA, DELOURDES, DERALDO, DORILDA, EDUARDO, EDUIRDE]",[ADELAIDE],[ADELAIDE],[ADELAIDE]
49,ADELAR,"[ADELAR, ADELIA, ADELOR]","[ADELAR, ADELIA]","[ADALRI, ADELAR, ADELOR, ADILAR]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ADELAR],"[ADELAR, ADELOR, ADILAR]","[ADELAR, ADELOR, ADILAR]"
50,ADELCIO,[ADELCIO],[ADELCIO],"[ADELCIO, ADELGICIO, ADELQUE, ADILSO, ADOLECIA]","[ADELCIO, ADELSON, ADEYLSON, ADILSO, ADILSON, ADOLECIA, ADORIZIO, DARLISON, DEILZA, DELCIO, DELSON, DELZA, DELZO, DIELLYSON, DILSA, DILSON, DILZA, DOLESAR, EDILEUSA, EDILSON, IDALIZAR, IDELSON, UDILSON]","[ADELCIO, ADELSON]","[ADELCIO, ADILSO, ADOLECIA]","[ADELCIO, DELCIO]"
51,ADELGICIO,[ADELGICIO],[ADELGICIO],"[ADELCIO, ADELGICIO, ADELQUE, ADILSO, ADOLECIA]",[ADELGICIO],[ADELGICIO],[ADELGICIO],[ADELGICIO]
