,BUSCA,RSLP,SNOW,CHAVESOUNDEX,BUSCABR_SEM_VOGAL,BUSCABR,METAPHONEBR,ROBERTO
2499,NORIVAL,[NORIVAL],[NORIVAL],[NORIVAL],"[ANDREWS, MARILVIO, NORIVAL]",[NORIVAL],[NORIVAL],[NORIVAL]
2500,NORMA,"[NORMA, NORMANDO, NORMINDO]","[NORMA, NORMANDO, NORMINDO]","[NORMA, NORMAN, NORMINA]","[MARCIANO, MAXIMIANO, MAXIMO, MERCINA, NORMA, NORMAN, NORMANDES, NORMANDO, NORMINA, NORMINDO, ONESIMO, ONEZIMO]","[NORMA, NORMAN]",[NORMA],[NORMA]
2501,NORMAN,[NORMAN],[NORMAN],"[NORMA, NORMAN, NORMINA]","[MARCIANO, MAXIMIANO, MAXIMO, MERCINA, NORMA, NORMAN, NORMANDES, NORMANDO, NORMINA, NORMINDO, ONESIMO, ONEZIMO]","[NORMA, NORMAN]",[NORMAN],[NORMAN]
2502,NORMANDES,[NORMANDES],[NORMANDES],[NORMANDES],"[MARCIANO, MAXIMIANO, MAXIMO, MERCINA, NORMA, NORMAN, NORMANDES, NORMANDO, NORMINA, NORMINDO, ONESIMO, ONEZIMO]",[NORMANDES],[NORMANDES],[NORMANDES]
2503,NORMANDO,"[NORMA, NORMANDO, NORMINDO]","[NORMA, NORMANDO, NORMINDO]","[NORMANDO, NORMINDO]","[MARCIANO, MAXIMIANO, MAXIMO, MERCINA, NORMA, NORMAN, NORMANDES, NORMANDO, NORMINA, NORMINDO, ONESIMO, ONEZIMO]",[NORMANDO],"[NORMANDO, NORMINDO]","[NORMANDO, NORMINDO]"
2504,NORMELIA,[NORMELIA],[NORMELIA],"[NORMELIA, NORMILIA]","[NORMELIA, NORMILIA]",[NORMELIA],"[NORMELIA, NORMILIA]","[NORMELIA, NORMILIA]"
2505,NORMILIA,[NORMILIA],[NORMILIA],"[NORMELIA, NORMILIA]","[NORMELIA, NORMILIA]",[NORMILIA],"[NORMELIA, NORMILIA]","[NORMELIA, NORMILIA]"
2506,NORMINA,[NORMINA],[NORMINA],"[NORMA, NORMAN, NORMINA]","[MARCIANO, MAXIMIANO, MAXIMO, MERCINA, NORMA, NORMAN, NORMANDES, NORMANDO, NORMINA, NORMINDO, ONESIMO, ONEZIMO]",[NORMINA],[NORMINA],[NORMINA]
2507,NORMINDO,"[NORMA, NORMANDO, NORMINDO]","[NORMA, NORMANDO, NORMINDO]","[NORMANDO, NORMINDO]","[MARCIANO, MAXIMIANO, MAXIMO, MERCINA, NORMA, NORMAN, NORMANDES, NORMANDO, NORMINA, NORMINDO, ONESIMO, ONEZIMO]",[NORMINDO],"[NORMANDO, NORMINDO]","[NORMANDO, NORMINDO]"
2508,NUBIA,[NUBIA],[NUBIA],"[NEIVA, NUBIA]","[ANIBAL, ANNIBAL, NUBIA]",[NUBIA],[NUBIA],[NUBIA]
2509,NUNO,[NUNO],[NUNO],"[NAME, NINIO, NOEME, NOEMEA, NOEMI, NOEMIA, NOEMIO, NUNO]","[AGMAR, AMANDA, AMIL, AMIR, ANA, ANAEL, ANAIR, ANANIAS, ANAYR, ANDONIOS, ANNA, EMANOEL, EMANUEL, EMMANOEL, ENE, ENEAS, ENES, ENI, ENIO, ENIR, ENNIO, ENOI, ENOS, ENY, EUMENES, EUNICE, IGNES, IGNEZ, INES, INEZ, INIS, IOMAR, IONE, MAGNA, MAGNO, MAIL, MANOEL, MANUEL, MANY, MAX, NAHUR, NAIR, NAME, NANCE, NANCY, NEEMIAS, NEHEMIAS, NEI, NEIMAR, NENIS, NERCI, NERCY, NEY, NICE, NINIO, NOE, NOEL, NOEME, NOEMEA, NOEMI, NOEMIA, NOEMIO, NUNO, OMAR, ONAIR, ONDINA, ONIAS]",[NUNO],"[NINIO, NUNO]",[NUNO]
2510,OBDENIGO,[OBDENIGO],[OBDENIGO],[OBDENIGO],[OBDENIGO],[OBDENIGO],[OBDENIGO],[OBDENIGO]
2511,OCARLINA,[OCARLINA],[OCARLINA],[OCARLINA],"[AQUILINO, CARINI, CARINO, CARLINDO, CAROLINA, CAROLINO, CLARINDA, CLARINDO, CLEMAR, CLEMIR, CLEOMAR, CLEOMENES, CLEONICE, COLINA, COLMAR, CORINA, KARINA, KARINE, OCARLINA]",[OCARLINA],[OCARLINA],"[CAROLINA, OCARLINA]"
2512,OCLEZIO,[OCLEZIO],[OCLEZIO],"[OCLEZIO, OSELIAS]","[ACRIZIO, CLEISSON, CLEUSA, CLEUZA, CLEZIO, CLOYSIO, CRESO, CREUSA, CREUZA, KLICIA, OCLEZIO]",[OCLEZIO],[OCLEZIO],"[CLEZIO, OCLEZIO]"
2513,OCTAVIO,[OCTAVIO],[OCTAVIO],[OCTAVIO],"[ALTEVIR, ALTIVO, ESTEVAM, ESTEVAO, OCTAVIO, OTAVIO]","[OCTAVIO, OTAVIO]","[OCTAVIO, OTAVIO]",[OCTAVIO]
2514,OCTILIA,[OCTILIA],[OCTILIA],[OCTILIA],"[ASTERIO, ATILA, ATILIO, ESTELA, EUSTELA, ITALO, OCTILIA, ORTILEU, OTILIA, OTILIO, STELA, STELLA, TULEUS, TULIO]","[OCTILIA, OTILIA]","[OCTILIA, OTILIA, OTILIO]",[OCTILIA]
2515,ODAIR,[ODAIR],[ODAIR],"[ODAIR, ODYR]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]",[ODAIR],"[ODAIR, ODYR]",[ODAIR]
2516,ODELIO,[ODELIO],[ODELIO],"[ODELIO, ODILA, ODILIA, ODILIO, OTILIA, OTILIO]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ODELIO],"[ODELIO, ODILA, ODILIA, ODILIO]","[ADILIO, EDILIO, IDALIO, ODELIO, ODILIO]"
2517,ODELYR,[ODELYR],[ODELYR],"[ODELYR, ODILAR]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ODELYR],"[ODELYR, ODILAR]","[ODELYR, ODILAR]"
2518,ODENI,[ODENI],[ODENI],"[ODENI, ODINEIA]","[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA]",[ODENI],"[ODENI, ODINEIA]",[ODENI]
2519,ODETE,[ODETE],[ODETE],"[ODETE, ODETTE, OTTO]","[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE]","[ODETE, ODETTE]",[ODETE],"[ODETE, ODETTE]"
2520,ODETTE,[ODETTE],[ODETTE],"[ODETE, ODETTE, OTTO]","[ADAILTON, ADALTO, ADAUTO, ADEILTO, ADITH, DALTO, DALTON, DAUSTER, EDITE, EDITH, EUDETE, ODETE, ODETTE]","[ODETE, ODETTE]",[ODETTE],"[ODETE, ODETTE]"
2521,ODILA,"[ODILA, ODILAR, ODILIA]","[ODILA, ODILAR, ODILIA]","[ODELIO, ODILA, ODILIA, ODILIO, OTILIA, OTILIO]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]","[ODILA, ODILAR]","[ODELIO, ODILA, ODILIA, ODILIO]",[ODILA]
2522,ODILAR,"[ODILA, ODILAR, ODILIA]","[ODILA, ODILAR, ODILIA]","[ODELYR, ODILAR]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]","[ODILA, ODILAR]","[ODELYR, ODILAR]","[ODELYR, ODILAR]"
2523,ODILIA,"[ODILA, ODILAR, ODILIA]","[ODILA, ODILAR, ODILIA]","[ODELIO, ODILA, ODILIA, ODILIO, OTILIA, OTILIO]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ODILIA],"[ODELIO, ODILA, ODILIA, ODILIO]","[ADELIA, ADILIA, EDILEA, EDILIA, ODILIA]"
2524,ODILIO,[ODILIO],[ODILIO],"[ODELIO, ODILA, ODILIA, ODILIO, OTILIA, OTILIO]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ODILIO],"[ODELIO, ODILA, ODILIA, ODILIO]","[ADILIO, EDILIO, IDALIO, ODELIO, ODILIO]"
2525,ODILON,[ODILON],[ODILON],"[ODILON, OTELINA, OTELINO]","[ADALRI, ADAURI, ADELAR, ADELIA, ADELOR, ADILA, ADILAR, ADILIA, ADILIO, ADILO, ADRIELE, AEDILA, AUDALIO, DALCI, DALILA, DARI, DARIO, DARLAN, DARLE, DARLY, DARY, DAURO, DEILI, DELAIR, DELCI, DELCY, DELIO, DELIRA, DELY, DEODORO, DERIA, DERIO, DERLI, DERLY, DEROCI, DILCE, DIRACY, DIRAEL, DIRAN, DIRLAND, DOLORA, DOLORES, DORACI, DORACY, DORALICE, DORIO, DUILIO, DULCE, EDERLY, EDILA, EDILEA, EDILIA, EDILIO, EDRON, IDALICE, IDALIO, IDELOND, IDERIA, ODELIO, ODELYR, ODILA, ODILAR, ODILIA, ODILIO, ODILON]",[ODILON],[ODILON],[ODILON]
2526,ODILVAN,[ODILVAN],[ODILVAN],[ODILVAN],"[ADERALVO, ADORIVAN, DALVA, DELVAIR, DELVAUX, DELVES, DELVO, DERVACY, DERVAI, DILVO, DOLVAIR, DORIVAL, DOURIVAL, DURVAL, ODILVAN]",[ODILVAN],[ODILVAN],[ODILVAN]
2527,ODINEIA,[ODINEIA],[ODINEIA],"[ODENI, ODINEIA]","[ADEMAR, ADEMIR, ADENIS, ADENOR, ADHEMAR, ADHEMAYR, ADNIL, DANIEL, DENECY, DENICE, DENIO, DENIS, DENYS, DGNAR, DIANA, DIDIMO, DIDNEY, DIMAS, DINA, DINAH, DINOMAR, DIOMAR, DIONE, DUERGNES, EDIMAR, EDIMUNDO, EDINA, EDINEA, EDINEIA, EDMAR, EDMIR, EDMO, EDMUNDO, EDNA, EDNE, EDNEI, EDNEIA, IDMAR, IDOMAR, ODENI, ODINEIA]",[ODINEIA],"[ODENI, ODINEIA]","[EDINEA, EDINEIA, EDNEIA, ODINEIA]"
2528,ODIVALDO,[ODIVALDO],[ODIVALDO],"[ODIVALDO, ODUVALDO]","[ADEVALDES, DIVALDO, EDEVALDO, EDIVALDO, EDVALDO, EDVARDE, EDWALDO, EDWARD, ODIVALDO, ODUVALDO]",[ODIVALDO],"[ODIVALDO, ODUVALDO]","[DIVALDO, EDEVALDO, EDIVALDO, EDVALDO, EDWALDO, ODIVALDO, ODUVALDO]"
2529,ODOCACIR,[ODOCACIR],[ODOCACIR],[ODOCACIR],[ODOCACIR],[ODOCACIR],[ODOCACIR],[ODOCACIR]
2530,ODUVALDO,[ODUVALDO],[ODUVALDO],"[ODIVALDO, ODUVALDO]","[ADEVALDES, DIVALDO, EDEVALDO, EDIVALDO, EDVALDO, EDVARDE, EDWALDO, EDWARD, ODIVALDO, ODUVALDO]",[ODUVALDO],"[ODIVALDO, ODUVALDO]","[DIVALDO, EDEVALDO, EDIVALDO, EDVALDO, EDWALDO, ODIVALDO, ODUVALDO]"
2531,ODYR,[ODYR],[ODYR],"[ODAIR, ODYR]","[ADA, ADAHIR, ADAIR, ADAO, ADÃO, ADEIR, ADIR, ADYR, AIDA, AYDIL, DAIR, DARCI, DARCY, DEA, DERCI, DERCY, DIRCE, EDER, EDES, EDI, EDIE, EDIO, EDIR, EDIS, EDU, EDY, EDYR, EUDA, HAYDEE, HEDER, HEDES, HEDY, HEIDER, HEIDI, IDA, IDAIL, IDEAL, IDIS, IEDA, IEDDA, IUDAN, ODAIR, ODYR, YEDA, YEDDA]",[ODYR],"[ODAIR, ODYR]",[ODYR]
2532,OILSON,[OILSON],[OILSON],[OILSON],"[AELSON, AILISON, AILSON, AILZA, ALCEU, ALCIO, ALCIR, ALECIO, ALEIXO, ALICIO, ALISSON, ALLISON, ALOISIO, ALOYSIO, ALUISIO, ALUIZIO, ALUIZO, ARILSON, ARILZA, ARIZIO, AURIZE, AYLSA, ELAISE, ELCIAS, ELCIO, ELEACIR, ELEAZAR, ELEUZA, ELIEZER, ELISA, ELISEU, ELISIO, ELISSON, ELIZA, ELIZEU, ELIZIO, ELOISA, ELOISIO, ELOIZIA, ELOIZIO, ELSA, ELSIR, ELSON, ELUIZA, ELYSIO, ELZA, ELZI, ELZIO, ELZO, ELZU, ELZY, ERASIO, ERICSSON, HELCIO, HELOISA, HELOIZA, HELSON, HORACIO, ILSA, ILSON, ILZA, LAERCIO, LAERSON, LECIO, LEISE, LESIA, LEUSA, LEZIO, LIELSON, LILIOSA, LUCIA, LUCIO, LUISA, LUIZA, LUSIA, LUZIA, OILSON, RAISSA, REILSON, RILZA, ROSA, ROZA, UILSON, UILZA, ULYSSES]",[OILSON],[OILSON],[OILSON]
2533,OLAVIA,"[OLAVIA, OLAVO]","[OLAVIA, OLAVO]","[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[ALVES, ALVIM, ELVES, ELVIO, HARVEY, HELVIO, HERVAL, LEVI, LEVY, LIVIO, LORIVAL, LOURIVAL, OLAVIA, OLAVIO, OLAVO, OLIVAL, OLIVIA, OLIVIO, ORIVAL, RIVAIL]",[OLAVIA],"[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[LEA, LÉA, LIA, LYA, OLAVIA, OLIVIA]"
2534,OLAVIO,[OLAVIO],[OLAVIO],"[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[ALVES, ALVIM, ELVES, ELVIO, HARVEY, HELVIO, HERVAL, LEVI, LEVY, LIVIO, LORIVAL, LOURIVAL, OLAVIA, OLAVIO, OLAVO, OLIVAL, OLIVIA, OLIVIO, ORIVAL, RIVAIL]",[OLAVIO],"[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[LIVIO, OLAVIO, OLIVIO]"
2535,OLAVO,"[OLAVIA, OLAVO]","[OLAVIA, OLAVO]","[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[ALVES, ALVIM, ELVES, ELVIO, HARVEY, HELVIO, HERVAL, LEVI, LEVY, LIVIO, LORIVAL, LOURIVAL, OLAVIA, OLAVIO, OLAVO, OLIVAL, OLIVIA, OLIVIO, ORIVAL, RIVAIL]",[OLAVO],"[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]",[OLAVO]
2536,OLAYR,[OLAYR],[OLAYR],[OLAYR],"[AELIO, ALAIR, ALAN, ALAOR, ALAYR, ALCI, ALCY, ALEX, ALICE, ALIRIO, ALLAN, ALOIR, ALY, ARACY, ARI, ARIELA, ARIM, ARLECE, ARLELON, ARLEY, ARLI, ARLY, ARON, ARY, AUIRES, AURA, AUREA, AURELIO, AUREO, AURIELES, AURORA, AYRES, ELCI, ELCY, ELI, ELIAS, ELIEL, ELIO, ELIR, ELOA, ELOI, ELOIR, ELOY, ELY, ERELCY, ERILIO, ERLI, ERLICE, ERLY, ERON, EULALIA, EULALIO, EULER, EURA, EURO, HELES, HELIA, HELIO, HÉLIO, HELY, HERIO, HERON, HIELEM, HILARIO, IARA, ILARIO, IRACI, IRACY, IRAN, IRIA, IRIS, IRON, LACI, LACY, LAHYR, LAILA, LAIR, LAIZ, LARRY, LARY, LAUCI, LAURA, LAURECI, LAURO, LAYRO, LEA, LÉA, LECY, LEILA, LEIR, LELES, LIA, LILIA, LIRIA, LIRIO, LIZ, LOACY, LUACY, LUAN, LUCI, ...]",[OLAYR],[OLAYR],[OLAYR]
2537,OLDAQUE,[OLDAQUE],[OLDAQUE],[OLDAQUE],[OLDAQUE],[OLDAQUE],[OLDAQUE],[OLDAQUE]
2538,OLEGARIO,[OLEGARIO],[OLEGARIO],[OLEGARIO],[OLEGARIO],[OLEGARIO],[OLEGARIO],[OLEGARIO]
2539,OLEMAR,[OLEMAR],[OLEMAR],[OLEMAR],"[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[OLEMAR],[OLEMAR],[OLEMAR]
2540,OLGA,[OLGA],[OLGA],[OLGA],"[LUNGRES, OLGA]",[OLGA],[OLGA],[OLGA]
2541,OLIMPIA,[OLIMPIA],[OLIMPIA],"[OLIMPIA, OLIMPIO, OLYMPIA]","[EULAMPIO, OLIMPIA, OLIMPIO, OLYMPIA]","[OLIMPIA, OLYMPIA]","[OLIMPIA, OLIMPIO, OLYMPIA]","[OLIMPIA, OLYMPIA]"
2542,OLIMPIO,[OLIMPIO],[OLIMPIO],"[OLIMPIA, OLIMPIO, OLYMPIA]","[EULAMPIO, OLIMPIA, OLIMPIO, OLYMPIA]",[OLIMPIO],"[OLIMPIA, OLIMPIO, OLYMPIA]",[OLIMPIO]
2543,OLINDA,[OLINDA],[OLINDA],"[OLINDA, OLINTA, OLINTO]","[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]","[OLINDA, ORLINDA]",[OLINDA],[OLINDA]
2544,OLINDINA,[OLINDINA],[OLINDINA],[OLINDINA],"[AILMA, ALINE, ALMINDO, ALMIR, ARINA, ARINDA, ARLENE, ARLINDA, ARLINDO, AURELINO, AURILENE, AURINO, EIRANDYR, ELAINE, ELANDIO, ELEMIR, ELENA, ELENI, ELENICE, ELENIR, ELENO, ELIANA, ELIANE, ELIEMAR, ELIENE, ELIMAR, ELINA, ELINE, ELIOMAR, ELIONAI, ELMAR, ERENI, ERENICE, ERENY, ERNANDES, ERNANE, ERNANI, EURENICE, HELEANA, HELENA, HELENI, HELENO, HELIANA, HELIOMAR, HELMER, HEROMAR, HILMO, HOLANDINO, HOLENDINO, ILMA, ILMAR, ILMO, IOLANDA, IOLENE, IRANI, IRANY, IRENE, IRENI, IRINEA, IRINEU, IRLANOS, IRNA, LANNA, LAUREANO, LAURENY, LAURINDA, LAURINDO, LEINA, LEMUEL, LENI, LENICE, LENIO, LENIS, LENOIR, LEOMAR, LEONEL, LEONI, LEONIR, LEONOR, LIANE, LINA, LINDA, LINDACY, LINDOMAR, LINDONOR, LINEA, LINEU, LINO, LINOMAR, LIONINA, LORENA, LUANDA, LUIANA, OLEMAR, OLINDA, OLINDINA, OLNEY, ORANEI, ORELINO, ORENI, ...]",[OLINDINA],[OLINDINA],[OLINDINA]
2545,OLINTA,"[OLINTA, OLINTO]","[OLINTA, OLINTO]","[OLINDA, OLINTA, OLINTO]","[ELENITA, ELINETE, EREMITA, ERENITA, ERINETI, ERNESTO, HELMUT, HERENITA, HERONILTON, LENITA, OLINTA, OLINTO, ORIENTE, RENATA, RENATO, RENAULT, ROMILTON, RONAILTOM, RONILTON, RONOTIR]",[OLINTA],"[OLINTA, OLINTO]","[OLINTA, OLINTO]"
2546,OLINTO,"[OLINTA, OLINTO]","[OLINTA, OLINTO]","[OLINDA, OLINTA, OLINTO]","[ELENITA, ELINETE, EREMITA, ERENITA, ERINETI, ERNESTO, HELMUT, HERENITA, HERONILTON, LENITA, OLINTA, OLINTO, ORIENTE, RENATA, RENATO, RENAULT, ROMILTON, RONAILTOM, RONILTON, RONOTIR]",[OLINTO],"[OLINTA, OLINTO]","[OLINTA, OLINTO]"
2547,OLIVAL,"[OLIVAL, OLIVEIRO, OLIVIA]",[OLIVAL],[OLIVAL],"[ALVES, ALVIM, ELVES, ELVIO, HARVEY, HELVIO, HERVAL, LEVI, LEVY, LIVIO, LORIVAL, LOURIVAL, OLAVIA, OLAVIO, OLAVO, OLIVAL, OLIVIA, OLIVIO, ORIVAL, RIVAIL]","[OLIVAL, ORIVAL]",[OLIVAL],[OLIVAL]
2548,OLIVEIRO,"[OLIVAL, OLIVEIRO, OLIVIA]",[OLIVEIRO],"[OLIVEIRO, OLIVERIO]","[ALVARO, ELVIRA, ELVIRO, OLIVEIRO, OLIVERIO]",[OLIVEIRO],"[OLIVEIRO, OLIVERIO]","[ELVIRO, OLIVEIRO]"
2549,OLIVERIO,[OLIVERIO],[OLIVERIO],"[OLIVEIRO, OLIVERIO]","[ALVARO, ELVIRA, ELVIRO, OLIVEIRO, OLIVERIO]",[OLIVERIO],"[OLIVEIRO, OLIVERIO]",[OLIVERIO]
2550,OLIVIA,"[OLIVAL, OLIVEIRO, OLIVIA]",[OLIVIA],"[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[ALVES, ALVIM, ELVES, ELVIO, HARVEY, HELVIO, HERVAL, LEVI, LEVY, LIVIO, LORIVAL, LOURIVAL, OLAVIA, OLAVIO, OLAVO, OLIVAL, OLIVIA, OLIVIO, ORIVAL, RIVAIL]",[OLIVIA],"[OLAVIA, OLAVIO, OLAVO, OLIVIA, OLIVIO]","[LEA, LÉA, LIA, LYA, OLAVIA, OLIVIA]"
